City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
494,weiser,44.251,-116.9693,3.69,90,100,1.76,US,1706325801
495,bereket,39.2446,55.5154,1.21,80,46,5.01,TM,1706325801
496,al kharijah,25.4514,30.5464,9.85,63,6,2.68,EG,1706325802
497,richmond,37.5538,-77.4603,18.14,94,75,2.57,US,1706325437
498,port lavaca,28.615,-96.6261,17.03,96,100,3.6,US,1706325802
499,chake chake,-5.2459,39.7666,25.6,89,100,1.77,TZ,1706325802
500,wanning,18.8003,110.3967,19.57,85,100,2.26,CN,1706325803
501,yen vinh,18.6667,105.6667,15.23,82,100,2.45,VN,1706325803
502,ulanhot,46.0833,122.0833,-12.06,63,4,1.68,CN,1706325803
503,makokou,0.5738,12.8642,22.77,74,59,1.16,GA,1706325804
504,port hedland,-20.3167,118.5667,31.03,58,100,7.2,AU,1706325804
505,holualoa,19.6228,-155.9522,24.91,70,20,6.17,US,1706325697
506,kikwit,-5.041,18.8162,21.52,96,48,0.83,CD,1706325804
507,santa elena de uairen,4.6167,-61.1333,22.65,60,96,2.21,VE,1706325805
508,sittwe,20.15,92.9,20.16,62,11,2.67,MM,1706325805
509,batikent,39.9683,32.7308,-0.34,86,40,3.6,TR,1706325806
510,taseyevo,57.2169,94.8978,-19.81,100,95,0.89,RU,1706325806
511,hilo,19.7297,-155.09,26.16,78,75,2.57,US,1706325518
512,maintirano,-18.0667,44.0167,25.71,77,32,1.55,MG,1706325806
513,limulunga,-15.0969,23.1376,17.2,69,19,2.14,ZM,1706325807
514,tokar,18.4254,37.729,20.84,58,98,4.38,SD,1706325807
515,kyzyl-suu,42.3414,78.0056,-5.38,67,42,3.77,KG,1706325807
516,caluula,11.9661,50.7569,25.24,74,42,3.49,SO,1706325808
517,anonang,11.0,124.0333,26.56,59,100,7.26,PH,1706325808
518,weligama,5.9667,80.4167,25.58,77,50,1.62,LK,1706325809
519,daru,-9.0763,143.2092,32.89,54,70,4.89,PG,1706325809
520,crane,31.3974,-102.3501,11.88,54,53,5.91,US,1706325809
521,thiruthani,13.1833,79.6333,23.77,76,89,1.94,IN,1706325809
522,tsiombe,-25.3,45.4833,21.7,80,0,4.54,MG,1706325810
523,egilsstadir,65.2653,-14.3948,-3.05,74,0,4.12,IS,1706325810
524,hithadhoo,-0.6,73.0833,28.14,67,50,6.56,MV,1706325810
525,chunskiy,56.0815,99.6342,-19.07,97,90,0.88,RU,1706325811
526,puerto san jose,13.9256,-90.8244,26.44,75,0,1.89,GT,1706325811
527,kiunga,-6.1219,141.2906,34.47,46,36,1.88,PG,1706325811
528,isabela,6.7085,121.9711,30.03,59,100,4.65,PH,1706325812
529,ebon,4.582,168.6964,28.0,76,100,5.91,MH,1706325812
530,ocos,14.5094,-92.1933,26.1,70,0,1.19,GT,1706325812
531,saint-francois,46.4154,3.9054,4.25,100,56,1.54,FR,1706325813
532,pico truncado,-46.7949,-67.9573,20.81,35,72,14.12,AR,1706325813
533,meru,0.0463,37.6559,16.26,78,100,1.22,KE,1706325814
534,zorgo,12.2489,-0.6158,18.65,23,0,4.49,BF,1706325814
535,kabalo,-6.05,26.9167,20.27,97,99,0.79,CD,1706325814
536,quepos,9.4236,-84.1652,25.76,85,58,0.88,CR,1706325814
537,shiguai,40.7058,110.2856,-11.49,57,27,1.02,CN,1706325815
538,bouake,7.6895,-5.0218,25.06,25,0,2.06,CI,1706325815
539,bairnsdale,-37.8333,147.6167,25.03,48,33,1.79,AU,1706325815
540,nizhneudinsk,54.9076,99.0276,-14.61,88,38,0.86,RU,1706325816
541,nadi,-17.8,177.4167,32.0,55,40,6.69,FJ,1706325816
542,black river,18.0264,-77.8487,24.43,85,1,1.61,JM,1706325816
543,happy valley-goose bay,53.3168,-60.3315,-14.83,72,20,3.09,CA,1706325817
544,uttar char fasson,22.2332,90.7132,18.14,54,92,4.24,BD,1706325817
545,bani walid,31.7566,13.9942,11.62,72,0,2.28,LY,1706325817
546,nema,57.5067,50.5011,-8.62,96,100,1.85,RU,1706325817
547,usinsk,65.9939,57.5281,-9.4,95,99,5.81,RU,1706325818
548,mountain home,43.133,-115.6912,3.41,82,100,1.79,US,1706325647
549,dori,14.0354,-0.0345,16.51,22,1,5.28,BF,1706325818
550,kismayo,-0.3582,42.5454,26.12,85,14,4.34,SO,1706325819
551,mahanoro,-19.9,48.8,23.1,83,98,2.56,MG,1706325819
552,la paz,-16.5,-68.15,11.99,75,75,1.03,BO,1706325688
553,labytnangi,66.6572,66.4183,-16.72,98,93,0.95,RU,1706325820
